Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Tiempo
68237.75240632921,9713.375236198335,-139.11725748983116,-41305.375552818245,-23248.719960298535,-60453.84680674635,-27090.895425188,79673.3519045534,0.376
68199.48621982172,9677.143058436282,-128.1649027067307,-41296.68072422513,-23238.952247971567,-60446.9177659652,-27086.760352463767,79682.7619889691,0.38
68192.06544066255,9661.29567161747,-143.31938544742889,-41311.63404126574,-23251.849204522277,-60456.59607131435,-27095.41047756797,79669.77562544055,0.384
68203.04014719011,9677.38892762529,-131.6741265862139,-41296.41250329167,-23237.87936423771,-60444.928460708674,-27079.674849471434,79685.53360528155,0.388
68222.44146137733,9709.77660534103,-149.48846691709363,-41307.94600343061,-23252.229184178017,-60459.34533588235,-27094.02466941174,79670.8038056855,0.392
68200.11206866647,9692.789279554998,-128.05314398445415,-41284.744892686,-23227.84343097728,-60438.82643447238,-27075.472721513837,79691.27800360657,0.396
68195.61936803095,9677.970072981128,-120.16297819173077,-41275.84889839279,-23217.15929712764,-60437.37357108278,-27073.81869242414,79699.16816939929,0.4
68199.10624016599,9683.982692239606,-111.33403913188448,-41262.86253486425,-23206.765735955923,-60430.600992512824,-27066.152044075974,79711.6627945498,0.404
68227.02356899065,9723.657038647776,-134.15517022075298,-41281.682703695624,-23228.782204244402,-60450.315231122404,-27087.11798037505,79690.49569255063,0.408
68225.48129862324,9724.864032848363,-129.32719341840667,-41278.59816296079,-23222.72488149701,-60446.47073107609,-27084.54752976269,79691.59092802893,0.412
68218.39579563092,9707.988465784605,-122.50991135953801,-41274.26192453646,-23213.87359069271,-60440.43576007316,-27079.071352371142,79698.29645136553,0.416
68229.43755739184,9717.01857054455,-120.02886772499893,-41271.199735546084,-23209.64911099066,-60438.58056528337,-27077.864358170555,79704.33142236846,0.42
68258.04779029463,9749.138027326826,-133.10463823135356,-41280.922744384145,-23219.327416339805,-60447.16363515421,-27087.20738735287,79696.66477402029,0.424
68253.80095884812,9753.608376217888,-111.87048099881184,-41261.96846508604,-23199.233198074486,-60432.8138152139,-27072.87991915702,79716.58017832997,0.428
68244.43557792135,9728.887346850319,-101.23105063808569,-41257.83339236181,-23192.147695082152,-60432.657353002716,-27074.153968590974,79722.27987316607,0.432
68261.46760719629,9740.890233622818,-133.46226614263847,-41288.87996541023,-23224.73653849799,-60459.47944634908,-27098.27150085825,79693.53552979654,0.436
68272.71053465731,9762.638480977832,-154.96464430864387,-41306.04610515191,-23245.344846885782,-60471.7729057995,-27107.636881785023,79679.29746857852,0.44
68261.04292405164,9756.983489630638,-121.59348983687042,-41273.099633824786,-23212.08545113629,-60440.39105658425,-27075.24920406928,79713.33917538395,0.444
68242.82625232056,9733.469454463657,-101.09694017135385,-41259.39801447368,-23193.466448005016,-60432.500890791525,-27069.30364004417,79729.43243139178,0.448
68254.04682803713,9738.744466155109,-130.0871527298871,-41287.38239853173,-23221.74140474098,-60457.26662364801,-27094.717573489856,79703.72792526818,0.452
68281.3159562726,9769.858094436895,-166.56519968094824,-41316.68553551263,-23256.45366388007,-60482.38998441577,-27118.61158831258,79673.12838710885,0.456
68268.95544158881,9764.560731000987,-148.03560352749867,-41296.993648647505,-23238.080529937808,-60457.53484458147,-27094.874035701043,79693.17790188527,0.46
68250.13527275744,9740.890233622818,-112.026943209999,-41264.47186046503,-23203.54708475436,-60432.858518702815,-27071.918794145444,79724.22447493368,0.464
68254.5609181596,9732.575384685444,-106.26019314052978,-41256.49228769449,-23198.227369573997,-60431.785634968954,-27070.912965644955,79730.86294303692,0.468
68277.18088354837,9760.246844321115,-117.77134153501291,-41264.38245348722,-23208.419765045615,-60440.77103623999,-27082.960555906364,79724.33623365597,0.472
68286.25569179723,9777.904722440806,-121.81700728142349,-41267.578752944326,-23211.414898802628,-60441.10631240682,-27085.329840818627,79723.59862608893,0.476
68265.22270026479,9760.246844321115,-115.06678045592076,-41264.293046509396,-23204.485858021482,-60440.65927751771,-27086.760352463767,79727.66664357981,0.48
68259.07597053958,9746.79109415902,-119.85005376935646,-41269.34454075629,-23205.961073155533,-60443.29678336344,-27090.44839029889,79725.49852436763,0.484
68275.6162614365,9764.091344367427,-146.31451920444005,-41290.913974155665,-23230.07860542281,-60461.84873126134,-27107.100439918097,79706.4101346028,0.488
68285.92041563039,9781.659815509298,-152.19302799618578,-41295.674895724645,-23235.9347624701,-60461.55815858342,-27105.848742228598,79704.7114020242,0.492
68269.15660728891,9771.467420037678,-132.6128998533368,-41278.8440321498,-23218.58980877278,-60446.828358987375,-27090.895425188,79723.03983247756,0.496
68271.8164648791,9760.291547810024,-133.70813533164684,-41280.78863391741,-23219.84150646228,-60448.43768458816,-27095.36577407906,79722.39163188836,0.5
68288.13323833147,9773.479077038655,-162.69834789018012,-41304.79440746241,-23246.194213175084,-60467.92840575319,-27115.214123155372,79699.19052114374,0.504
68302.6171687385,9796.993112205639,-195.39895002829434,-41330.6553757972,-23275.36323968926,-60485.51922863952,-27132.872001275064,79674.49184352063,0.508
68284.19933130733,9786.532495800555,-184.67011268974696,-41321.20058789261,-23262.84626279429,-60471.41527788821,-27121.025576713753,79682.69493373572,0.512
68274.49867421373,9769.142838614325,-175.3717869963392,-41317.4007913352,-23252.251535922474,-60465.022678974,-27115.99643421131,79688.66284950529,0.516
68283.55113071813,9779.491696297133,-195.2871913060178,-41335.0586694549,-23269.305916941874,-60479.26074019203,-27129.005149484296,79672.21196558619,0.52
68293.94469188985,9800.725853529675,-195.73422619512394,-41331.92942523115,-23267.920108785645,-60472.10818196633,-27120.399727869004,79674.08951212044,0.524
68284.24403479624,9791.65104528082,-190.23569705911842,-41328.44255309612,-23260.454626137573,-60469.06834472041,-27120.802059269197,79676.43644528824,0.528
68287.68620344237,9779.357585830401,-228.54658705551472,-41369.770928593985,-23296.977376577543,-60501.32191196942,-27158.352989954114,79633.11876453385,0.532
68280.13131381647,9764.627786234354,-214.39793281530535,-41352.73889931905,-23278.55953914637,-60480.6241966038,-27133.296684419714,79650.46371823117,0.536
68280.69010742786,9777.524742785066,-182.74786266659055,-41317.624308779756,-23243.422596862627,-60450.15876891122,-27099.12086714755,79685.37714307036,0.54
68286.54626447514,9796.4119668498,-187.19585981319665,-41322.429933837644,-23246.708303297557,-60459.88177774928,-27112.286044631728,79680.34800056792,0.544
68274.5210259582,9776.675376495765,-188.2910952915067,-41327.57083506237,-23248.116463198243,-60465.96145224112,-27119.975044724353,79675.38591329884,0.548
68282.47824698428,9768.65110023631,-173.31542650645096,-41311.99166917702,-23230.816212989834,-60454.651469546734,-27108.17332365195,79692.17207338478,0.552
68308.31686357461,9802.491641341645,-208.13944436781938,-41341.317157902384,-23264.27677443943,-60484.28988269447,-27138.41523389998,79660.56670672497,0.556
68297.38686053596,9804.346836131435,-238.6495755493135,-41368.25100997103,-23292.685841642124,-60504.361749215335,-27160.409350444002,79630.48125868813,0.56
68275.10217131402,9778.821143963474,-236.6826220372465,-41368.20630648212,-23290.60712940778,-60498.50559216805,-27153.726178851866,79629.90011333229,0.564
68268.35194448852,9762.705536211197,-235.4756278366599,-41365.14411749174,-23288.08138228433,-60493.99053978808,-27146.439510159435,79634.70573839018,0.568
68268.2625375107,9766.661794979787,-232.9275289687549,-41357.07513774337,-23283.387515948718,-60486.41329841773,-27137.856440288597,79641.36655823786,0.572
